date,home_team,away_team,home_team_goal_count,away_team_goal_count
"Aug 11, 2025","Copiapó","Coquimbo",3,0
"Aug 10, 2025","U. Católica","Palestino",1,1
"Aug 10, 2025","Colo-Colo","Iquique",2,0
"Aug 10, 2025","Iquique","Cobreloa",2,1
"Aug 9, 2025","U. Española","Copiapó",0,1
"Aug 9, 2025","Cobresal","Palestino",2,1
"Aug 4, 2025","Palestino","O'Higgins",1,1
"Aug 4, 2025","Huachipato","Colo-Colo",1,2
"Aug 4, 2025","Everton","U. Católica",2,2
"Aug 3, 2025","Iquique","U. de Chile",1,3
"Aug 3, 2025","Coquimbo","U. Española",1,2
"Aug 2, 2025","La Calera","Ñublense",2,1
"Aug 2, 2025","Cobresal","Cobreloa",3,2
"Jul 21, 2025","U. de Chile","Copiapó",1,0
"Jul 21, 2025","Cobresal","Hachipato",1,0
"Jul 21, 2025","Everton","Palestino",1,4
"Jul 20, 2025","Colo-Colo","U. Española",2,1
"Jul 20, 2025","O'Higgins","Copiapó",2,0
"Jul 20, 2025","Cobreloa","Católica",1,2
"Jul 19, 2025","Audax","Iquique",0,3
"Jul 19, 2025","La Calera","Coquimbo",0,2
"Jun 2, 2025","Coquimbo","Católica",2,0
"Jun 2, 2025","Cobresal","U. Española",2,2
"Jun 2, 2025","Everton","U. de Chile",1,2
"Jun 1, 2025","La Calera","Colo-Colo",0,3
"May 31, 2025","Iquique","Audax",1,1
"May 31, 2025","Palestino","Coquimbo",1,1
"May 26, 2025","O'Higgins","Cobreloa",4,0
"May 26, 2025","Católica","Copiapó",4,1
"May 25, 2025","Colo-Colo","Hachipato",2,0
"May 25, 2025","Huachipato","Everton",1,0
"May 25, 2025","Palestino","Iquique",2,1
"May 25, 2025","Ñublense","Cobreloa",3,0
"May 24, 2025","Copiapó","O'Higgins",0,4
"May 20, 2025","Coquimbo","Católica",1,2
"May 19, 2025","Católica","O'Higgins",3,2
"May 19, 2025","Ñublense","U. de Chile",0,0
